,,,,,,,,,,,,,,,,txtTitle,,,,,,
,,,,,,,,,,,,,,,,ระบบการเงิน,,,,,,
repName,repCode,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,PAYCODE,Text90,RECEIVEDATETIME,CR,Text97,Text116,Text119,Text122,Text99,CREATEUSERID,Text95,,,,,,,
,,2019-11-06,03TT630082,บริษัท นิวฟาร์มา (ประเทศไทย) จำกัด,036300239,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ A622390 เลขที่ 207,"26,600.00",248.6,0.00,0.00,0.00,26351.4,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,txtTitle,,,,,,
,,,,,,,,,,,,,,,,ระบบการเงิน,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401664: บริษัท นิวฟาร์มา (ประเทศไทย) จำกัด,10244704,,,
,,2019-11-06,03TT630083,บริษัทพีเอ็มแอล ฟาร์มาซูติคอลส์ จำกัด,036300244,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ SIS190906-062 เลขที่ 222,"37,500.00",350.47,0.00,0.00,0.00,37149.53,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401660: บริษัท  พีเอ็มแอล ฟาร์มาซูติคอลส์ จำกัด,10244705,,,
,,2019-11-06,03TT630084,บริษัทมาซา แลบ จำกัด,036300070,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ 62082294 เลขที่ 73,"14,400.00",134.58,0.00,0.00,0.00,14265.42,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401273: บริษัท  มาซา แลบ จำกัด,10244706,,,
,,2019-11-06,03TT630085,บริษัทเมดไลน์ จำกัด,036300235,ค่าวัสดุ,ค่ายา 2 รายการ ตามใบแจ้งหนี้เลขที่ 101190900136 เลขที่ 176,"66,550.00",621.96,0.00,0.00,0.00,65928.04,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401282: บริษัท  เมดไลน์ จำกัด,10244707,,,
,,2019-11-06,03TT630086,ห้างหุ้นส่วนจำกัด ป.เวชชูปกรณ์,036300197,ค่าวัสดุ,ค่าเวชภัณฑ์ จำนวน   2  รายการ (ตามใบแจ้งหนี้เลขที่  IV6209039 เลขที่ 274 ),"13,140.00",122.8,0.00,0.00,0.00,13017.2,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,402180: ห้างหุ้นส่วนจำกัด ป.เวชชูปกรณ์,10244718,,,
,,2019-11-06,03TT630087,บริษัทเมดไลน์ จำกัด,036300081,ค่าวัสดุ,ค่ายา 2 รายการ ตามใบแจ้งหนี้เลขที่ 102190900325 เลขที่ 228,"91,490.00",855.05,0.00,0.00,0.00,90634.95,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401282: บริษัท  เมดไลน์ จำกัด,10244708,,,
,,2019-11-06,03TT630088,บริษัทนูฟาร์ม่า แอนด์ เฮลท์แคร์ จำกัด,036300071,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ IV6202093 เลขที่ 72,"9,630.00",90,0.00,0.00,0.00,9540,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401158: บริษัท  นูฟาร์ม่า แอนด์ เฮลท์แคร์ จำกัด,10244709,,,
,,2019-11-06,03TT630089,บริษัท บี.เอ็ล.ฮั้ว จำกัด,036300241,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ 62026394 เลขที่ 213,"25,680.00",240,0.00,0.00,0.00,25440,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401205: บริษัท บี.เอ็ล.ฮั้ว จำกัด,10244710,,,
,,2019-11-06,03TT630090,บริษัท บี.เอ็ล.เอช. เทร็ดดิ้ง จำกัด,036300074,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ 1062017911 เลขที่ 69,"1,926.00",18,0.00,0.00,0.00,1908,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401204: บริษัท บี.เอ็ล.เอช. เทร็ดดิ้ง จำกัด,10244711,,,
,,2019-11-06,03TT630091,บริษัท บี.เอ็ล.เอช. เทร็ดดิ้ง จำกัด,036300192,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ 1062018712 เลขที่ 235,"40,959.60",382.8,0.00,0.00,0.00,40576.8,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401204: บริษัท บี.เอ็ล.เอช. เทร็ดดิ้ง จำกัด,10244712,,,
,,,,,,,,,,,,,,,,txtTitle,,,,,,
,,,,,,,,,,,,,,,,ระบบการเงิน,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,2019-11-06,03TT630092,บริษัทเบอร์ลินฟาร์มาซูติคอลอินดัสตรี้ จำกัด,036300237,ค่าวัสดุ,ค่ายา 2 รายการ ตามใบแจ้งหนี้เลขที่ 621085574 เลขที่ 203,"45,058.00",421.1,0.00,0.00,0.00,44636.9,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401214: บริษัท  เบอร์ลินฟาร์มาซูติคอลอินดัสตรี้ จำกัด,10244713,,,
,,2019-11-06,03TT630093,บริษัทเบอร์ลินฟาร์มาซูติคอลอินดัสตรี้ จำกัด,036300193,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ 621087907 เลขที่ 241,"49,220.00",460,0.00,0.00,0.00,48760,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,401214: บริษัท  เบอร์ลินฟาร์มาซูติคอลอินดัสตรี้ จำกัด,10244714,,,
,,2019-11-06,03TT630094,บริษัท ไบโอฟาร์ม เคมิคัลส์ จำกัด,036300187,ค่าวัสดุ,ค่ายา 1 รายการ ตามใบแจ้งหนี้เลขที่ 110879423 เลขที่ 196,"4,001.80",37.4,0.00,0.00,0.00,3964.4,,2019-11-06,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
